text,channel_id,category
"Идёт как то бабка с корзиной яиц, а на встречу ей солдат с тележкой дёрна. Бабка увидела дёрн и думает: чёрт, мне бы тоже дёрна надо, деду на могилку там...
Она и говори солдату:
— Солдатик, а дай дёрну за яйца
Он подумал и говорит:
— На дергай, только не сильно",27,развлечения
"**Дети в семье, в которой живёт показавшая на ТВ жест о помощи девочка, в безопасности и чувствуют себя хорошо, заявила РИА Новости детский омбудсмен во Владимирской области Юлия Раснянская. **

«Вчера соответствующие органы с семьёй общались», — отметила Раснянская. Она добавила, что организовала дополнительную проверку, но семья находится под контролем её аппарата с 2020 года: «Бывшие супруги достаточно эмоционально относятся ко всему происходящему».",30,шоу бизнес
"🇬🇧Sky News: Австралия стала первой страной, разрешившей психиатрам выписывать наркотики для лечения: экстази для борьбы с посттравматическим стрессовым расстройством и псилоцибин против депрессии. Изменения вступили в силу с 1 июля, хотя некоторые ученые были удивлены этим шагом. Пока есть опасения, что такое решение преждевременно: у врачей мало компетенции. Кроме того, препараты будут очень дорогими. Лечение одного пациента обойдется в 5200 фунтов стерлингов. Но сторонники говорят, что такая практика выведет страну на передовые исследовательские позиции. 

[Подписаться.](https://t.me/briefsmi)",31,психология
"🟢купил QIWI по 654 RUB
Tdmap",16,крипта
"⭕продал QIWI по 672 RUB
Vladislavzz",43,крипта
"⭕продал TCSG по 3332.5 RUB
Rostislavzzz",45,крипта
"⭕продал ALRS по 69.96 RUB
Vyacheslavzz",49,крипта
"Нынешний [ПМЭФ](https://t.me/rusbrief/126650) показал, что развиваться в условиях большого конфликта с внешним миром гораздо сложнее, чем раньше, когда до горячей фазы противостояния дело не доходило. Если прежде на форуме обсуждали, как двигаться вперед и на кого опереться, то теперь повестку определяет фактически один, но главный вопрос о том, как преодолеть нажитые проблемы. [Мастер пера ](https://t.me/master_pera/11861)#пмэф",0,политика
"⚡️Міністр оборони Олексій Резніков показав нічну роботу САУ CAESAR по ворогові. Ці самохідні сучасні 155-мм гаубиці ЗСУ передали Данія і Франція, за що їм міністр і подякував.

[🇺🇦Реальная Война](http://t.me/voynareal)",5,политика
Командование Воздушных сил Украины сообщает о количестве поражённых целей за минувшие сутки.,8,политика
"**Что за «нефтяное проклятье»

**Вчера обсуждали тенденции избавления России от «нефтяной иглы». Своеобразная околонаркоманская терминология, которой обозначают зависимость экономики страны от экспорта полезных ископаемых.

В мире более популярен оборот «нефтяное проклятье», который появился и обрел популярность в 70-е годы прошлого века, когда происходил бум открытий ресурсных месторождений.

В мире достаточно примеров стран, существование которых поделилось на «до» и «после» в зависимости от найденных месторождений.

Самый показательный кейс нефтяного проклятья — Венесуэла. Страна, обладающая огромными нефтяными запасами и не сумевшая реализовать эту возможность на мировом рынке. Немало таких примеров и в странах Африки.

С обратной стороны нефтяного проклятья находится Норвегия. Достаточно бедная страна в 1969 году обнаружила запасы нефти и смогла построить экономику таким образом, чтобы развить страну до уровня самой развитой в мире. Помимо Норвегии, таких примеров достаточно среди стран Персидского залива.

Если коротко, то суть нефтяного проклятья в том, что страна начинает качать нефть на экспорт, при этом не особо заботясь о развитии других отраслей экономики. В итоге становится зависима от ресурсной добычи и любой кризис приводит к шоку в развитии.

Суть «правильного» развития заключается в диверсификации источников пополнения бюджета: экспорт ресурсов, развитие промышленности, строительство, торговля, сфера услуг и др. В таком случае кризис в одной из отраслей не приведет к дефолту экономики всей страны.

[Около ЦБ](https://t.me/okoloCB)",10,политика
